Pool_number,Volume,TidePoolSize,macro_Shannon_sessile,macro_Shannon_mobile,macro_Shannon_mean,macro_Richness,macro_Autotroph,macro_Heterotroph
1,8.326979824,large,0.812778313,0.5641681,0.688473206,7,32.61111111,13.41666667
2,0.009257226,small,0.688403875,0.854414982,0.771409428,5,30,6
3,1.403244719,large,1.778604695,0.520989638,1.149797167,10,19.88888889,3
4,0.089430671,small,0.942740228,1.280519197,1.111629713,10,17,9.875
5,0.125663706,small,1.515703838,0.922019367,1.218861602,11,14.8,19.16666667
6,1.120668931,large,0.90258725,0.545743046,0.724165148,7,39,13.43333333
7,5.536227671,large,0.665989893,0.43493478,0.550462337,5,36.22222222,24
8,0.196035382,small,1.536308462,0.635808763,1.086058613,12,14,31.07142857
9,3.588955447,large,1.073024796,0.631781904,0.85240335,8,15.46666667,4.416666667
10,0.872608775,large,1.679035179,0.902723772,1.290879476,9,22,15.75
11,0.085953975,small,0.846241844,0.617937679,0.732089761,7,15.25,13.16666667
12,0.168288835,small,2.085598803,0.78064592,1.433122362,15,13.9,12.3
